node_id,day,hour,flow
105,0,0,1254.5185786435966
106,0,0,2790.1597041847763
107,0,0,10568.829725829939
108,0,0,3999.536038960974
109,0,0,6012.205916305805
110,0,0,1207.2844877344978
111,0,0,5222.3203463203745
112,0,0,91.89025974025982
113,0,0,400.1293650793648
114,0,0,2324.2224025973715
115,0,0,725.6707431457618
116,0,0,424.21002886003527
117,0,0,1296.247222222226
118,0,0,1560.583261183281
119,0,0,5063.809523809262
120,0,0,1288.3527777777815
121,0,0,358.4186507936501
122,0,0,1625.151767676795
123,0,0,448.08214285714377
124,0,0,988.906926406953
125,0,0,928.2696248196654
126,0,0,2273.001587301546
127,0,0,314.6103174603166
128,0,0,3573.614682539705
129,0,0,795.322402597414
130,0,0,1333.2372655122656
131,0,0,2057.007900432902
132,0,0,295.6357142857158
133,0,0,1204.210028860032
134,0,0,1081.037229437241
135,0,0,6229.54365079375
136,0,0,1855.1816738816283
137,0,0,1756.403896103923
138,0,0,4923.365079365086
139,0,0,5650.923809523724
140,0,0,2813.261616161627
141,0,0,2184.3706349206227
142,0,0,8307.47301587299
